sweep_name,swept_param,swept_value,nmax,dstep,time_layers,seed,trial,success_spatial,success_temporal,spatial_cost,temporal_cost,spatial_nodes,temporal_nodes,timed_path_duration,runtime_sec
vary_nmax,nmax,300,300,1.5,40,11,2,True,True,17.178819734149958,16.120270391798915,14,12,21.520270391798917,4.428706169128418
vary_nmax,nmax,300,300,1.5,40,12,3,True,True,18.531790405228637,17.467485196810507,15,9,26.46748519681051,1.5845820903778076
vary_nmax,nmax,300,300,1.5,40,13,4,True,True,16.50113118983033,15.737612960054188,13,5,15.737612960054188,2.021479368209839
vary_nmax,nmax,300,300,1.5,40,14,5,True,True,19.04072714513909,17.925401179415754,15,9,24.525401179415752,1.93464994430542
vary_nmax,nmax,300,300,1.5,40,15,6,True,False,18.17151242876064,,14,0,,0.7804839611053467
vary_nmax,nmax,300,300,1.5,40,16,7,True,True,21.351869431458947,19.241552369941296,19,11,25.84155236994129,7.111374855041504
vary_nmax,nmax,300,300,1.5,40,17,8,True,True,18.001769301320675,16.106927207839814,15,8,21.506927207839816,4.321053981781006
vary_nmax,nmax,300,300,1.5,40,18,9,True,True,17.701932547719874,16.56515841491185,15,10,22.26515841491185,4.692420959472656
vary_nmax,nmax,400,400,1.5,40,9,0,True,False,19.266684257776213,,15,0,,0.7951149940490723
vary_nmax,nmax,400,400,1.5,40,10,1,True,True,18.36682279114912,16.362756492793956,16,8,21.762756492793955,2.3119730949401855
vary_nmax,nmax,400,400,1.5,40,11,2,True,True,17.178819734149958,16.120270391798915,14,12,21.520270391798917,4.3017401695251465
vary_nmax,nmax,400,400,1.5,40,12,3,True,True,18.531790405228637,17.467485196810507,15,9,26.46748519681051,1.6551103591918945
vary_nmax,nmax,400,400,1.5,40,13,4,True,True,16.50113118983033,15.737612960054188,13,5,15.737612960054188,2.0151479244232178
vary_nmax,nmax,400,400,1.5,40,14,5,True,True,19.04072714513909,17.925401179415754,15,9,24.525401179415752,1.961287260055542
vary_nmax,nmax,400,400,1.5,40,15,6,True,False,18.17151242876064,,14,0,,0.7836558818817139
vary_nmax,nmax,400,400,1.5,40,16,7,True,True,21.351869431458947,19.241552369941296,19,11,25.84155236994129,7.102910280227661
vary_nmax,nmax,400,400,1.5,40,17,8,True,True,18.001769301320675,16.106927207839814,15,8,21.506927207839816,4.482609987258911
vary_nmax,nmax,400,400,1.5,40,18,9,True,True,17.701932547719874,16.56515841491185,15,10,22.26515841491185,4.709475040435791
vary_nmax,nmax,500,500,1.5,40,9,0,True,False,19.266684257776213,,15,0,,0.8335001468658447
vary_nmax,nmax,500,500,1.5,40,10,1,True,True,18.36682279114912,16.362756492793956,16,8,21.762756492793955,2.341866970062256
vary_nmax,nmax,500,500,1.5,40,11,2,True,True,17.178819734149958,16.120270391798915,14,12,21.520270391798917,4.3609702587127686
vary_nmax,nmax,500,500,1.5,40,12,3,True,True,18.531790405228637,17.467485196810507,15,9,26.46748519681051,1.6139392852783203
vary_nmax,nmax,500,500,1.5,40,13,4,True,True,16.50113118983033,15.737612960054188,13,5,15.737612960054188,2.027190923690796
vary_nmax,nmax,500,500,1.5,40,14,5,True,True,19.04072714513909,17.925401179415754,15,9,24.525401179415752,1.987156867980957
vary_nmax,nmax,500,500,1.5,40,15,6,True,False,18.17151242876064,,14,0,,0.7868671417236328
vary_nmax,nmax,500,500,1.5,40,16,7,True,True,21.351869431458947,19.241552369941296,19,11,25.84155236994129,7.228985071182251
vary_nmax,nmax,500,500,1.5,40,17,8,True,True,18.001769301320675,16.106927207839814,15,8,21.506927207839816,4.352756977081299
vary_nmax,nmax,500,500,1.5,40,18,9,True,True,17.701932547719874,16.56515841491185,15,10,22.26515841491185,4.7589099407196045
