sweep_name,swept_param,swept_value,nmax,dstep,time_layers,seed,trial,success_spatial,success_temporal,spatial_cost,temporal_cost,spatial_nodes,temporal_nodes,timed_path_duration,runtime_sec
vary_time_layers,time_layers,100,300,1.5,100,9,0,True,False,19.266684257776213,,15,0,,5.260394811630249
vary_time_layers,time_layers,100,300,1.5,100,10,1,True,True,18.36682279114912,16.362756492793956,16,8,21.762756492793955,16.77719211578369
vary_time_layers,time_layers,100,300,1.5,100,11,2,True,True,17.178819734149958,16.120270391798915,14,13,21.400270391798912,30.771421194076538
vary_time_layers,time_layers,100,300,1.5,100,12,3,True,True,18.531790405228637,17.467485196810507,15,12,26.347485196810506,10.231104135513306
vary_time_layers,time_layers,100,300,1.5,100,13,4,True,True,16.50113118983033,15.737612960054188,13,6,26.057612960054186,12.321132183074951
vary_time_layers,time_layers,100,300,1.5,100,14,5,True,True,19.04072714513909,17.925401179415754,15,10,24.645401179415753,11.669541120529175
vary_time_layers,time_layers,100,300,1.5,100,15,6,True,False,18.17151242876064,,14,0,,4.688262939453125
vary_time_layers,time_layers,100,300,1.5,100,16,7,True,True,21.351869431458947,19.241552369941296,19,11,25.84155236994129,45.53500699996948
vary_time_layers,time_layers,100,300,1.5,100,17,8,True,True,18.001769301320675,16.106927207839814,15,8,21.626927207839813,26.509739875793457
vary_time_layers,time_layers,100,300,1.5,100,18,9,True,True,17.701932547719874,16.56515841491185,15,9,22.08515841491185,32.53655409812927
